Combination,Overlap,Length of Overlap
"(0, 1, 2, 6, 10, 11)","[2, 11, 6]",3
"(0, 1, 2, 7, 8, 9)","[8, 9, 2]",3
"(0, 1, 2, 7, 8, 10)","[8, 2]",2
"(0, 1, 2, 7, 8, 11)","[8, 2, 11]",3
"(0, 1, 2, 7, 9, 10)","[9, 2]",2
"(0, 1, 2, 7, 9, 11)","[9, 2, 11]",3
"(0, 1, 2, 7, 10, 11)","[2, 11]",2
"(0, 1, 2, 8, 9, 10)","[8, 9, 2]",3
"(0, 1, 2, 8, 9, 11)","[8, 9, 2, 11]",4
"(0, 1, 2, 8, 10, 11)","[8, 2, 11]",3
"(0, 1, 2, 9, 10, 11)","[9, 2, 11]",3
"(0, 1, 3, 4, 5, 6)","[5, 6]",2
"(0, 1, 3, 4, 5, 7)",[5],1
"(0, 1, 3, 4, 5, 8)","[8, 5]",2
"(0, 1, 3, 4, 5, 9)","[9, 5]",2
"(0, 1, 3, 4, 5, 10)",[5],1
"(0, 1, 3, 4, 5, 11)","[11, 5]",2
"(0, 1, 3, 4, 6, 7)",[6],1
"(0, 1, 3, 4, 6, 8)","[8, 6]",2
"(0, 1, 3, 4, 6, 9)","[9, 6]",2
"(0, 1, 3, 4, 6, 10)",[6],1
"(0, 1, 3, 4, 6, 11)","[11, 6]",2
"(0, 1, 3, 4, 7, 8)",[8],1
"(0, 1, 3, 4, 7, 9)",[9],1
"(0, 1, 3, 4, 7, 10)",[],0
"(0, 1, 3, 4, 7, 11)",[11],1
"(0, 1, 3, 4, 8, 9)","[8, 9]",2
"(0, 1, 3, 4, 8, 10)",[8],1
"(0, 1, 3, 4, 8, 11)","[8, 11]",2
"(0, 1, 3, 4, 9, 10)",[9],1
"(0, 1, 3, 4, 9, 11)","[9, 11]",2
"(0, 1, 3, 4, 10, 11)",[11],1
"(0, 1, 3, 5, 6, 7)","[5, 6]",2
"(0, 1, 3, 5, 6, 8)","[8, 5, 6]",3
"(0, 1, 3, 5, 6, 9)","[9, 5, 6]",3
"(0, 1, 3, 5, 6, 10)","[5, 6]",2
"(0, 1, 3, 5, 6, 11)","[11, 5, 6]",3
"(0, 1, 3, 5, 7, 8)","[8, 5]",2
"(0, 1, 3, 5, 7, 9)","[9, 5]",2
"(0, 1, 3, 5, 7, 10)",[5],1
"(0, 1, 3, 5, 7, 11)","[11, 5]",2
"(0, 1, 3, 5, 8, 9)","[8, 9, 5]",3
"(0, 1, 3, 5, 8, 10)","[8, 5]",2
"(0, 1, 3, 5, 8, 11)","[8, 11, 5]",3
"(0, 1, 3, 5, 9, 10)","[9, 5]",2
"(0, 1, 3, 5, 9, 11)","[9, 11, 5]",3
"(0, 1, 3, 5, 10, 11)","[11, 5]",2
"(0, 1, 3, 6, 7, 8)","[8, 6]",2
"(0, 1, 3, 6, 7, 9)","[9, 6]",2
"(0, 1, 3, 6, 7, 10)",[6],1
"(0, 1, 3, 6, 7, 11)","[11, 6]",2
"(0, 1, 3, 6, 8, 9)","[8, 9, 6]",3
"(0, 1, 3, 6, 8, 10)","[8, 6]",2
"(0, 1, 3, 6, 8, 11)","[8, 11, 6]",3
"(0, 1, 3, 6, 9, 10)","[9, 6]",2
"(0, 1, 3, 6, 9, 11)","[9, 11, 6]",3
"(0, 1, 3, 6, 10, 11)","[11, 6]",2
"(0, 1, 3, 7, 8, 9)","[8, 9]",2
"(0, 1, 3, 7, 8, 10)",[8],1
"(0, 1, 3, 7, 8, 11)","[8, 11]",2
"(0, 1, 3, 7, 9, 10)",[9],1
"(0, 1, 3, 7, 9, 11)","[9, 11]",2
"(0, 1, 3, 7, 10, 11)",[11],1
"(0, 1, 3, 8, 9, 10)","[8, 9]",2
"(0, 1, 3, 8, 9, 11)","[8, 9, 11]",3
"(0, 1, 3, 8, 10, 11)","[8, 11]",2
"(0, 1, 3, 9, 10, 11)","[9, 11]",2
"(0, 1, 4, 5, 6, 7)","[5, 6]",2
"(0, 1, 4, 5, 6, 8)","[8, 5, 6]",3
"(0, 1, 4, 5, 6, 9)","[9, 5, 6]",3
"(0, 1, 4, 5, 6, 10)","[5, 6]",2
"(0, 1, 4, 5, 6, 11)","[11, 5, 6]",3
"(0, 1, 4, 5, 7, 8)","[8, 5]",2
"(0, 1, 4, 5, 7, 9)","[9, 5]",2
"(0, 1, 4, 5, 7, 10)",[5],1
"(0, 1, 4, 5, 7, 11)","[11, 5]",2
"(0, 1, 4, 5, 8, 9)","[8, 9, 5]",3
"(0, 1, 4, 5, 8, 10)","[8, 5]",2
"(0, 1, 4, 5, 8, 11)","[8, 11, 5]",3
"(0, 1, 4, 5, 9, 10)","[9, 5]",2
"(0, 1, 4, 5, 9, 11)","[9, 11, 5]",3
"(0, 1, 4, 5, 10, 11)","[11, 5]",2
"(0, 1, 4, 6, 7, 8)","[8, 6]",2
"(0, 1, 4, 6, 7, 9)","[9, 6]",2
"(0, 1, 4, 6, 7, 10)",[6],1
"(0, 1, 4, 6, 7, 11)","[11, 6]",2
"(0, 1, 4, 6, 8, 9)","[8, 9, 6]",3
"(0, 1, 4, 6, 8, 10)","[8, 6]",2
"(0, 1, 4, 6, 8, 11)","[8, 11, 6]",3
"(0, 1, 4, 6, 9, 10)","[9, 6]",2
"(0, 1, 4, 6, 9, 11)","[9, 11, 6]",3
"(0, 1, 4, 6, 10, 11)","[11, 6]",2
"(0, 1, 4, 7, 8, 9)","[8, 9]",2
"(0, 1, 4, 7, 8, 10)",[8],1
"(0, 1, 4, 7, 8, 11)","[8, 11]",2
"(0, 1, 4, 7, 9, 10)",[9],1
"(0, 1, 4, 7, 9, 11)","[9, 11]",2
"(0, 1, 4, 7, 10, 11)",[11],1
"(0, 1, 4, 8, 9, 10)","[8, 9]",2
"(0, 1, 4, 8, 9, 11)","[8, 9, 11]",3
"(0, 1, 4, 8, 10, 11)","[8, 11]",2
"(0, 1, 4, 9, 10, 11)","[9, 11]",2
"(0, 1, 5, 6, 7, 8)","[8, 5, 6]",3
"(0, 1, 5, 6, 7, 9)","[9, 5, 6]",3
"(0, 1, 5, 6, 7, 10)","[5, 6]",2
"(0, 1, 5, 6, 7, 11)","[11, 5, 6]",3
"(0, 1, 5, 6, 8, 9)","[8, 9, 5, 6]",4
"(0, 1, 5, 6, 8, 10)","[8, 5, 6]",3
"(0, 1, 5, 6, 8, 11)","[8, 11, 5, 6]",4
"(0, 1, 5, 6, 9, 10)","[9, 5, 6]",3
"(0, 1, 5, 6, 9, 11)","[9, 11, 5, 6]",4
"(0, 1, 5, 6, 10, 11)","[11, 5, 6]",3
"(0, 1, 5, 7, 8, 9)","[8, 9, 5]",3
"(0, 1, 5, 7, 8, 10)","[8, 5]",2
"(0, 1, 5, 7, 8, 11)","[8, 11, 5]",3
"(0, 1, 5, 7, 9, 10)","[9, 5]",2
"(0, 1, 5, 7, 9, 11)","[9, 11, 5]",3
"(0, 1, 5, 7, 10, 11)","[11, 5]",2
"(0, 1, 5, 8, 9, 10)","[8, 9, 5]",3
"(0, 1, 5, 8, 9, 11)","[8, 9, 11, 5]",4
"(0, 1, 5, 8, 10, 11)","[8, 11, 5]",3
"(0, 1, 5, 9, 10, 11)","[9, 11, 5]",3
"(0, 1, 6, 7, 8, 9)","[8, 9, 6]",3
"(0, 1, 6, 7, 8, 10)","[8, 6]",2
"(0, 1, 6, 7, 8, 11)","[8, 11, 6]",3
"(0, 1, 6, 7, 9, 10)","[9, 6]",2
"(0, 1, 6, 7, 9, 11)","[9, 11, 6]",3
"(0, 1, 6, 7, 10, 11)","[11, 6]",2
"(0, 1, 6, 8, 9, 10)","[8, 9, 6]",3
"(0, 1, 6, 8, 9, 11)","[8, 9, 11, 6]",4
"(0, 1, 6, 8, 10, 11)","[8, 11, 6]",3
"(0, 1, 6, 9, 10, 11)","[9, 11, 6]",3
"(0, 1, 7, 8, 9, 10)","[8, 9]",2
"(0, 1, 7, 8, 9, 11)","[8, 9, 11]",3
"(0, 1, 7, 8, 10, 11)","[8, 11]",2
"(0, 1, 7, 9, 10, 11)","[9, 11]",2
"(0, 1, 8, 9, 10, 11)","[8, 9, 11]",3
"(0, 2, 3, 4, 5, 6)","[2, 5, 6]",3
"(0, 2, 3, 4, 5, 7)","[2, 5]",2
"(0, 2, 3, 4, 5, 8)","[8, 2, 5]",3
"(0, 2, 3, 4, 5, 9)","[9, 2, 5]",3
"(0, 2, 3, 4, 5, 10)","[2, 5]",2
"(0, 2, 3, 4, 5, 11)","[2, 11, 5]",3
"(0, 2, 3, 4, 6, 7)","[2, 6]",2
"(0, 2, 3, 4, 6, 8)","[8, 2, 6]",3
"(0, 2, 3, 4, 6, 9)","[9, 2, 6]",3
"(0, 2, 3, 4, 6, 10)","[2, 6]",2
"(0, 2, 3, 4, 6, 11)","[2, 11, 6]",3
"(0, 2, 3, 4, 7, 8)","[8, 2]",2
"(0, 2, 3, 4, 7, 9)","[9, 2]",2
"(0, 2, 3, 4, 7, 10)",[2],1
"(0, 2, 3, 4, 7, 11)","[2, 11]",2
"(0, 2, 3, 4, 8, 9)","[8, 9, 2]",3
"(0, 2, 3, 4, 8, 10)","[8, 2]",2
"(0, 2, 3, 4, 8, 11)","[8, 2, 11]",3
"(0, 2, 3, 4, 9, 10)","[9, 2]",2
"(0, 2, 3, 4, 9, 11)","[9, 2, 11]",3
"(0, 2, 3, 4, 10, 11)","[2, 11]",2
"(0, 2, 3, 5, 6, 7)","[2, 5, 6]",3
"(0, 2, 3, 5, 6, 8)","[8, 2, 5, 6]",4
"(0, 2, 3, 5, 6, 9)","[9, 2, 5, 6]",4
"(0, 2, 3, 5, 6, 10)","[2, 5, 6]",3
"(0, 2, 3, 5, 6, 11)","[2, 11, 5, 6]",4
"(0, 2, 3, 5, 7, 8)","[8, 2, 5]",3
"(0, 2, 3, 5, 7, 9)","[9, 2, 5]",3
"(0, 2, 3, 5, 7, 10)","[2, 5]",2
"(0, 2, 3, 5, 7, 11)","[2, 11, 5]",3
"(0, 2, 3, 5, 8, 9)","[8, 9, 2, 5]",4
"(0, 2, 3, 5, 8, 10)","[8, 2, 5]",3
"(0, 2, 3, 5, 8, 11)","[8, 2, 11, 5]",4
"(0, 2, 3, 5, 9, 10)","[9, 2, 5]",3
"(0, 2, 3, 5, 9, 11)","[9, 2, 11, 5]",4
"(0, 2, 3, 5, 10, 11)","[2, 11, 5]",3
"(0, 2, 3, 6, 7, 8)","[8, 2, 6]",3
"(0, 2, 3, 6, 7, 9)","[9, 2, 6]",3
"(0, 2, 3, 6, 7, 10)","[2, 6]",2
"(0, 2, 3, 6, 7, 11)","[2, 11, 6]",3
"(0, 2, 3, 6, 8, 9)","[8, 9, 2, 6]",4
"(0, 2, 3, 6, 8, 10)","[8, 2, 6]",3
"(0, 2, 3, 6, 8, 11)","[8, 2, 11, 6]",4
"(0, 2, 3, 6, 9, 10)","[9, 2, 6]",3
"(0, 2, 3, 6, 9, 11)","[9, 2, 11, 6]",4
"(0, 2, 3, 6, 10, 11)","[2, 11, 6]",3
"(0, 2, 3, 7, 8, 9)","[8, 9, 2]",3
"(0, 2, 3, 7, 8, 10)","[8, 2]",2
"(0, 2, 3, 7, 8, 11)","[8, 2, 11]",3
"(0, 2, 3, 7, 9, 10)","[9, 2]",2
"(0, 2, 3, 7, 9, 11)","[9, 2, 11]",3
"(0, 2, 3, 7, 10, 11)","[2, 11]",2
"(0, 2, 3, 8, 9, 10)","[8, 9, 2]",3
"(0, 2, 3, 8, 9, 11)","[8, 9, 2, 11]",4
"(0, 2, 3, 8, 10, 11)","[8, 2, 11]",3
"(0, 2, 3, 9, 10, 11)","[9, 2, 11]",3
"(0, 2, 4, 5, 6, 7)","[2, 5, 6]",3
"(0, 2, 4, 5, 6, 8)","[8, 2, 5, 6]",4
"(0, 2, 4, 5, 6, 9)","[9, 2, 5, 6]",4
"(0, 2, 4, 5, 6, 10)","[2, 5, 6]",3
"(0, 2, 4, 5, 6, 11)","[2, 11, 5, 6]",4
"(0, 2, 4, 5, 7, 8)","[8, 2, 5]",3
"(0, 2, 4, 5, 7, 9)","[9, 2, 5]",3
"(0, 2, 4, 5, 7, 10)","[2, 5]",2
"(0, 2, 4, 5, 7, 11)","[2, 11, 5]",3
"(0, 2, 4, 5, 8, 9)","[8, 9, 2, 5]",4
"(0, 2, 4, 5, 8, 10)","[8, 2, 5]",3
"(0, 2, 4, 5, 8, 11)","[8, 2, 11, 5]",4
"(0, 2, 4, 5, 9, 10)","[9, 2, 5]",3
"(0, 2, 4, 5, 9, 11)","[9, 2, 11, 5]",4
"(0, 2, 4, 5, 10, 11)","[2, 11, 5]",3
"(0, 2, 4, 6, 7, 8)","[8, 2, 6]",3
"(0, 2, 4, 6, 7, 9)","[9, 2, 6]",3
"(0, 2, 4, 6, 7, 10)","[2, 6]",2
"(0, 2, 4, 6, 7, 11)","[2, 11, 6]",3
"(0, 2, 4, 6, 8, 9)","[8, 9, 2, 6]",4
"(0, 2, 4, 6, 8, 10)","[8, 2, 6]",3
"(0, 2, 4, 6, 8, 11)","[8, 2, 11, 6]",4
"(0, 2, 4, 6, 9, 10)","[9, 2, 6]",3
"(0, 2, 4, 6, 9, 11)","[9, 2, 11, 6]",4
"(0, 2, 4, 6, 10, 11)","[2, 11, 6]",3
"(0, 2, 4, 7, 8, 9)","[8, 9, 2]",3
"(0, 2, 4, 7, 8, 10)","[8, 2]",2
"(0, 2, 4, 7, 8, 11)","[8, 2, 11]",3
"(0, 2, 4, 7, 9, 10)","[9, 2]",2
"(0, 2, 4, 7, 9, 11)","[9, 2, 11]",3
"(0, 2, 4, 7, 10, 11)","[2, 11]",2
"(0, 2, 4, 8, 9, 10)","[8, 9, 2]",3
"(0, 2, 4, 8, 9, 11)","[8, 9, 2, 11]",4
"(0, 2, 4, 8, 10, 11)","[8, 2, 11]",3
"(0, 2, 4, 9, 10, 11)","[9, 2, 11]",3
"(0, 2, 5, 6, 7, 8)","[8, 2, 5, 6]",4
"(0, 2, 5, 6, 7, 9)","[9, 2, 5, 6]",4
"(0, 2, 5, 6, 7, 10)","[2, 5, 6]",3
"(0, 2, 5, 6, 7, 11)","[2, 11, 5, 6]",4
"(0, 2, 5, 6, 8, 9)","[2, 5, 6, 8, 9]",5
"(0, 2, 5, 6, 8, 10)","[8, 2, 5, 6]",4
"(0, 2, 5, 6, 8, 11)","[2, 5, 6, 8, 11]",5
"(0, 2, 5, 6, 9, 10)","[9, 2, 5, 6]",4
"(0, 2, 5, 6, 9, 11)","[2, 5, 6, 9, 11]",5
"(0, 2, 5, 6, 10, 11)","[2, 11, 5, 6]",4
"(0, 2, 5, 7, 8, 9)","[8, 9, 2, 5]",4
"(0, 2, 5, 7, 8, 10)","[8, 2, 5]",3
"(0, 2, 5, 7, 8, 11)","[8, 2, 11, 5]",4
"(0, 2, 5, 7, 9, 10)","[9, 2, 5]",3
"(0, 2, 5, 7, 9, 11)","[9, 2, 11, 5]",4
"(0, 2, 5, 7, 10, 11)","[2, 11, 5]",3
"(0, 2, 5, 8, 9, 10)","[8, 9, 2, 5]",4
"(0, 2, 5, 8, 9, 11)","[2, 5, 8, 9, 11]",5
"(0, 2, 5, 8, 10, 11)","[8, 2, 11, 5]",4
"(0, 2, 5, 9, 10, 11)","[9, 2, 11, 5]",4
"(0, 2, 6, 7, 8, 9)","[8, 9, 2, 6]",4
"(0, 2, 6, 7, 8, 10)","[8, 2, 6]",3
"(0, 2, 6, 7, 8, 11)","[8, 2, 11, 6]",4
"(0, 2, 6, 7, 9, 10)","[9, 2, 6]",3
"(0, 2, 6, 7, 9, 11)","[9, 2, 11, 6]",4
"(0, 2, 6, 7, 10, 11)","[2, 11, 6]",3
"(0, 2, 6, 8, 9, 10)","[8, 9, 2, 6]",4
"(0, 2, 6, 8, 9, 11)","[2, 6, 8, 9, 11]",5
"(0, 2, 6, 8, 10, 11)","[8, 2, 11, 6]",4
"(0, 2, 6, 9, 10, 11)","[9, 2, 11, 6]",4
"(0, 2, 7, 8, 9, 10)","[8, 9, 2]",3
"(0, 2, 7, 8, 9, 11)","[8, 9, 2, 11]",4
"(0, 2, 7, 8, 10, 11)","[8, 2, 11]",3
"(0, 2, 7, 9, 10, 11)","[9, 2, 11]",3
"(0, 2, 8, 9, 10, 11)","[8, 9, 2, 11]",4
"(0, 3, 4, 5, 6, 7)","[5, 6]",2
"(0, 3, 4, 5, 6, 8)","[8, 5, 6]",3
"(0, 3, 4, 5, 6, 9)","[9, 5, 6]",3
"(0, 3, 4, 5, 6, 10)","[5, 6]",2
"(0, 3, 4, 5, 6, 11)","[11, 5, 6]",3
"(0, 3, 4, 5, 7, 8)","[8, 5]",2
"(0, 3, 4, 5, 7, 9)","[9, 5]",2
"(0, 3, 4, 5, 7, 10)",[5],1
"(0, 3, 4, 5, 7, 11)","[11, 5]",2
"(0, 3, 4, 5, 8, 9)","[8, 9, 5]",3
"(0, 3, 4, 5, 8, 10)","[8, 5]",2
"(0, 3, 4, 5, 8, 11)","[8, 11, 5]",3
"(0, 3, 4, 5, 9, 10)","[9, 5]",2
"(0, 3, 4, 5, 9, 11)","[9, 11, 5]",3
"(0, 3, 4, 5, 10, 11)","[11, 5]",2
"(0, 3, 4, 6, 7, 8)","[8, 6]",2
"(0, 3, 4, 6, 7, 9)","[9, 6]",2
"(0, 3, 4, 6, 7, 10)",[6],1
"(0, 3, 4, 6, 7, 11)","[11, 6]",2
"(0, 3, 4, 6, 8, 9)","[8, 9, 6]",3
"(0, 3, 4, 6, 8, 10)","[8, 6]",2
"(0, 3, 4, 6, 8, 11)","[8, 11, 6]",3
"(0, 3, 4, 6, 9, 10)","[9, 6]",2
"(0, 3, 4, 6, 9, 11)","[9, 11, 6]",3
"(0, 3, 4, 6, 10, 11)","[11, 6]",2
"(0, 3, 4, 7, 8, 9)","[8, 9]",2
"(0, 3, 4, 7, 8, 10)",[8],1
"(0, 3, 4, 7, 8, 11)","[8, 11]",2
"(0, 3, 4, 7, 9, 10)",[9],1
"(0, 3, 4, 7, 9, 11)","[9, 11]",2
"(0, 3, 4, 7, 10, 11)",[11],1
"(0, 3, 4, 8, 9, 10)","[8, 9]",2
"(0, 3, 4, 8, 9, 11)","[8, 9, 11]",3
"(0, 3, 4, 8, 10, 11)","[8, 11]",2
"(0, 3, 4, 9, 10, 11)","[9, 11]",2
"(0, 3, 5, 6, 7, 8)","[8, 5, 6]",3
"(0, 3, 5, 6, 7, 9)","[9, 5, 6]",3
"(0, 3, 5, 6, 7, 10)","[5, 6]",2
"(0, 3, 5, 6, 7, 11)","[11, 5, 6]",3
"(0, 3, 5, 6, 8, 9)","[8, 9, 5, 6]",4
"(0, 3, 5, 6, 8, 10)","[8, 5, 6]",3
"(0, 3, 5, 6, 8, 11)","[8, 11, 5, 6]",4
"(0, 3, 5, 6, 9, 10)","[9, 5, 6]",3
"(0, 3, 5, 6, 9, 11)","[9, 11, 5, 6]",4
"(0, 3, 5, 6, 10, 11)","[11, 5, 6]",3
"(0, 3, 5, 7, 8, 9)","[8, 9, 5]",3
"(0, 3, 5, 7, 8, 10)","[8, 5]",2
"(0, 3, 5, 7, 8, 11)","[8, 11, 5]",3
"(0, 3, 5, 7, 9, 10)","[9, 5]",2
"(0, 3, 5, 7, 9, 11)","[9, 11, 5]",3
"(0, 3, 5, 7, 10, 11)","[11, 5]",2
"(0, 3, 5, 8, 9, 10)","[8, 9, 5]",3
"(0, 3, 5, 8, 9, 11)","[8, 9, 11, 5]",4
"(0, 3, 5, 8, 10, 11)","[8, 11, 5]",3
"(0, 3, 5, 9, 10, 11)","[9, 11, 5]",3
"(0, 3, 6, 7, 8, 9)","[8, 9, 6]",3
"(0, 3, 6, 7, 8, 10)","[8, 6]",2
"(0, 3, 6, 7, 8, 11)","[8, 11, 6]",3
"(0, 3, 6, 7, 9, 10)","[9, 6]",2
"(0, 3, 6, 7, 9, 11)","[9, 11, 6]",3
"(0, 3, 6, 7, 10, 11)","[11, 6]",2
"(0, 3, 6, 8, 9, 10)","[8, 9, 6]",3
"(0, 3, 6, 8, 9, 11)","[8, 9, 11, 6]",4
"(0, 3, 6, 8, 10, 11)","[8, 11, 6]",3
"(0, 3, 6, 9, 10, 11)","[9, 11, 6]",3
"(0, 3, 7, 8, 9, 10)","[8, 9]",2
"(0, 3, 7, 8, 9, 11)","[8, 9, 11]",3
"(0, 3, 7, 8, 10, 11)","[8, 11]",2
"(0, 3, 7, 9, 10, 11)","[9, 11]",2
"(0, 3, 8, 9, 10, 11)","[8, 9, 11]",3
"(0, 4, 5, 6, 7, 8)","[8, 5, 6]",3
"(0, 4, 5, 6, 7, 9)","[9, 5, 6]",3
"(0, 4, 5, 6, 7, 10)","[5, 6]",2
"(0, 4, 5, 6, 7, 11)","[11, 5, 6]",3
"(0, 4, 5, 6, 8, 9)","[8, 9, 5, 6]",4
"(0, 4, 5, 6, 8, 10)","[8, 5, 6]",3
"(0, 4, 5, 6, 8, 11)","[8, 11, 5, 6]",4
"(0, 4, 5, 6, 9, 10)","[9, 5, 6]",3
"(0, 4, 5, 6, 9, 11)","[9, 11, 5, 6]",4
"(0, 4, 5, 6, 10, 11)","[11, 5, 6]",3
"(0, 4, 5, 7, 8, 9)","[8, 9, 5]",3
"(0, 4, 5, 7, 8, 10)","[8, 5]",2
"(0, 4, 5, 7, 8, 11)","[8, 11, 5]",3
"(0, 4, 5, 7, 9, 10)","[9, 5]",2
"(0, 4, 5, 7, 9, 11)","[9, 11, 5]",3
"(0, 4, 5, 7, 10, 11)","[11, 5]",2
"(0, 4, 5, 8, 9, 10)","[8, 9, 5]",3
"(0, 4, 5, 8, 9, 11)","[8, 9, 11, 5]",4
"(0, 4, 5, 8, 10, 11)","[8, 11, 5]",3
"(0, 4, 5, 9, 10, 11)","[9, 11, 5]",3
"(0, 4, 6, 7, 8, 9)","[8, 9, 6]",3
"(0, 4, 6, 7, 8, 10)","[8, 6]",2
"(0, 4, 6, 7, 8, 11)","[8, 11, 6]",3
"(0, 4, 6, 7, 9, 10)","[9, 6]",2
"(0, 4, 6, 7, 9, 11)","[9, 11, 6]",3
"(0, 4, 6, 7, 10, 11)","[11, 6]",2
"(0, 4, 6, 8, 9, 10)","[8, 9, 6]",3
"(0, 4, 6, 8, 9, 11)","[8, 9, 11, 6]",4
"(0, 4, 6, 8, 10, 11)","[8, 11, 6]",3
"(0, 4, 6, 9, 10, 11)","[9, 11, 6]",3
"(0, 4, 7, 8, 9, 10)","[8, 9]",2
"(0, 4, 7, 8, 9, 11)","[8, 9, 11]",3
"(0, 4, 7, 8, 10, 11)","[8, 11]",2
"(0, 4, 7, 9, 10, 11)","[9, 11]",2
"(0, 4, 8, 9, 10, 11)","[8, 9, 11]",3
"(0, 5, 6, 7, 8, 9)","[8, 9, 5, 6]",4
"(0, 5, 6, 7, 8, 10)","[8, 5, 6]",3
"(0, 5, 6, 7, 8, 11)","[8, 11, 5, 6]",4
"(0, 5, 6, 7, 9, 10)","[9, 5, 6]",3
"(0, 5, 6, 7, 9, 11)","[9, 11, 5, 6]",4
"(0, 5, 6, 7, 10, 11)","[11, 5, 6]",3
"(0, 5, 6, 8, 9, 10)","[8, 9, 5, 6]",4
"(0, 5, 6, 8, 9, 11)","[5, 6, 8, 9, 11]",5
